Issue Type,Summary,Description,Epic Name,Epic Link,Parent

Epic,"Migration - Azure to Home Lab","This epic covers all activities required to move the Bitcoin Node Helper services, data, and configurations from the Azure VM to the local Ubuntu home lab machine.",MIG,,
Story,"Prepare Source Azure Server for Migration","As a node operator, I want to gracefully shut down services and create comprehensive backups on the Azure VM so that data consistency is maintained and all critical components are secured before transfer.",,MIG,
Task,"Stop Nginx service.","`sudo systemctl stop nginx.service`",,,Prepare Source Azure Server for Migration
Task,"Stop Mempool.space Backend & Dashboard PM2 processes.","`sudo -u bitcoin_knots_node env PM2_HOME=/home/bitcoin_knots_node/.pm2 pm2 stop all`",,,Prepare Source Azure Server for Migration
Task,"Stop Electrs service.","`sudo systemctl stop electrs.service`",,,Prepare Source Azure Server for Migration
Task,"Stop Bitcoin Core (bitcoind) service.","`sudo systemctl stop bitcoind.service`",,,Prepare Source Azure Server for Migration
Task,"Disable and backup all cron jobs for root and `bitcoin_knots_node` user.","`crontab -l > /home/bitcoin_knots_node/cron_backup_$(date +%F).txt`
`sudo -u bitcoin_knots_node crontab -l > /home/bitcoin_knots_node/cron_backup_bitcoin_knots_node_$(date +%F).txt`
`crontab -r`
`sudo -u bitcoin_knots_node crontab -r`",,,Prepare Source Azure Server for Migration
Task,"Create `migration_backup` directory and set permissions.","`mkdir -p /home/bitcoin_knots_node/migration_backup`
`sudo chown bitcoin_knots_node:bitcoin_knots_node /home/bitcoin_knots_node/migration_backup`",,,Prepare Source Azure Server for Migration
Task,"Backup Bitcoin Core data directory.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/bitcoin_data.tar.gz /home/bitcoin_knots_node/.bitcoin`",,,Prepare Source Azure Server for Migration
Task,"Backup Electrs database.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/electrs_db.tar.gz /home/bitcoin_knots_node/bitcoin_node_helper/electrs/db/bitcoin`",,,Prepare Source Azure Server for Migration
Task,"Backup Mempool backend configuration.","`cp /home/bitcoin_knots_node/bitcoin_node_helper/mempool/backend/mempool-config.json /home/bitcoin_knots_node/migration_backup/`",,,Prepare Source Azure Server for Migration
Task,"Backup MariaDB `mempool` database.","`sudo mysqldump -u root -p mempool > /home/bitcoin_knots_node/migration_backup/mempool_mariadb.sql`",,,Prepare Source Azure Server for Migration
Task,"Backup Nginx configurations.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/nginx_configs.tar.gz /etc/nginx`",,,Prepare Source Azure Server for Migration
Task,"Backup Mempool frontend static files.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/mempool_frontend.tar.gz /var/www/mempool/browser`",,,Prepare Source Azure Server for Migration
Task,"Backup Systemd service files (`bitcoind.service`, `electrs.service`).","`cp /etc/systemd/system/bitcoind.service /home/bitcoin_knots_node/migration_backup/`
`cp /etc/systemd/system/electrs.service /home/bitcoin_knots_node/migration_backup/`",,,Prepare Source Azure Server for Migration
Task,"Backup `bitcoin_node_helper` project directory.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/bitcoin_node_helper.tar.gz /home/bitcoin_knots_node/bitcoin_node_helper`",,,Prepare Source Azure Server for Migration
Task,"Backup PM2 configuration.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/pm2_home.tar.gz /home/bitcoin_knots_node/.pm2`",,,Prepare Source Azure Server for Migration
Task,"Backup Postfix and Mailutils configurations.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/postfix_mailutils.tar.gz /etc/postfix /etc/mailutils`",,,Prepare Source Azure Server for Migration
Task,"Backup Fail2ban configurations.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/fail2ban_configs.tar.gz /etc/fail2ban`",,,Prepare Source Azure Server for Migration
Task,"Backup SSH configuration.","`cp -r /home/bitcoin_knots_node/.ssh /home/bitcoin_knots_node/migration_backup/`",,,Prepare Source Azure Server for Migration
Task,"Transfer `migration_backup` directory to local machine.","`scp -r /home/bitcoin_knots_node/migration_backup <local_user>@<local_ip>:/path/to/local/backup/`",,,Prepare Source Azure Server for Migration
Task,"Verify integrity of transferred backups (checksums, partial restore).",,,Prepare Source Azure Server for Migration

Story,"Provision Local Home Lab Server (MIG-2)","As a node operator, I want to prepare the local Ubuntu machine with all necessary operating system and software dependencies so that it can host the Bitcoin Node Helper services.",,MIG,
Task,"Install a fresh copy of Ubuntu Server (same version as Azure VM if possible).",,,Provision Local Home Lab Server (MIG-2)
Task,"Run `sudo apt update && sudo apt upgrade -y`.",,,Provision Local Home Lab Server (MIG-2)
Task,"Install essential tools (`curl`, `wget`, `git`, `tar`, `rsync`, `bc`, `net-tools`, `htop`, `iotop`).",,,Provision Local Home Lab Server (MIG-2)
Task,"Install Bitcoin Core build dependencies.",,,Provision Local Home Lab Server (MIG-2)
Task,"Install MariaDB Server and Client.",,,Provision Local Home Lab Server (MIG-2)
Task,"Install Nginx Web Server.",,,Provision Local Home Lab Server (MIG-2)
Task,"Install Node.js and npm via NVM (ensure matching version).",,,Provision Local Home Lab Server (MIG-2)
Task,"Install `pm2` globally.",,,Provision Local Home Lab Server (MIG-2)
Task,"Install Rust (for Electrs).",,,Provision Local Home Lab Server (MIG-2)
Task,"Install Mail Utilities and Postfix.",,,Provision Local Home Lab Server (MIG-2)
Task,"Install Fail2ban.",,,Provision Local Home Lab Server (MIG-2)
Task,"Install `jq` (JSON processor).",,,Provision Local Home Lab Server (MIG-2)
Task,"Install Uncomplicated Firewall (`ufw`).",,,Provision Local Home Lab Server (MIG-2)
Task,"Create system users (`bitcoin_knots_node`, `electrs`) and add `bitcoin_knots_node` to sudo group.",,,Provision Local Home Lab Server (MIG-2)

Story,"Restore Data and Configurations on Home Lab Server (MIG-3)","As a node operator, I want to restore all backed-up data and configuration files to their correct locations on the home lab server so that the services can function as they did on Azure.",,MIG,
Task,"Move `migration_backup` to a temporary restore location (`/tmp/migration_restore`).",,,Restore Data and Configurations on Home Lab Server (MIG-3)
Task,"Extract `bitcoin_data.tar.gz` to root.",,,Restore Data and Configurations on Home Lab Server (MIG-3)
Task,"Extract `electrs_db.tar.gz` to root.",,,Restore Data and Configurations on Home Lab Server (MIG-3)
Task,"Extract `nginx_configs.tar.gz` to root.",,,Restore Data and Configurations on Home Lab Server (MIG-3)
