"Issue Key","Issue Type","Summary","Description","Epic Link","Parent ID"
"BKN-1","Epic","Migration - Azure to Home Lab","This epic covers all activities required to move the Bitcoin Node Helper services, data, and configurations from the Azure VM to the local Ubuntu home lab machine.","",""
"BKN-2","Story","Prepare Source Azure Server for Migration","As a node operator, I want to gracefully shut down services and create comprehensive backups on the Azure VM so that data consistency is maintained and all critical components are secured before transfer.","BKN-1",""
"BKN-3","Task","Stop Nginx service.","`sudo systemctl stop nginx.service`","BKN-1","BKN-2"
"BKN-4","Task","Stop Mempool.space Backend & Dashboard PM2 processes.","`sudo -u bitcoin_knots_node env PM2_HOME=/home/bitcoin_knots_node/.pm2 pm2 stop all`","BKN-1","BKN-2"
"BKN-5","Task","Stop Electrs service.","`sudo systemctl stop electrs.service`","BKN-1","BKN-2"
"BKN-6","Task","Stop Bitcoin Core (bitcoind) service.","`sudo systemctl stop bitcoind.service`","BKN-1","BKN-2"
"BKN-7","Task","Disable and backup all cron jobs for root and `bitcoin_knots_node` user.","`crontab -l > /home/bitcoin_knots_node/cron_backup_$(date +%F).txt`
`sudo -u bitcoin_knots_node crontab -l > /home/bitcoin_knots_node/cron_backup_bitcoin_knots_node_$(date +%F).txt`
`crontab -r`
`sudo -u bitcoin_knots_node crontab -r`","BKN-1","BKN-2"
"BKN-8","Task","Create `migration_backup` directory and set permissions.","`mkdir -p /home/bitcoin_knots_node/migration_backup`
`sudo chown bitcoin_knots_node:bitcoin_knots_node /home/bitcoin_knots_node/migration_backup`","BKN-1","BKN-2"
"BKN-9","Task","Backup Bitcoin Core data directory.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/bitcoin_data.tar.gz /home/bitcoin_knots_node/.bitcoin`","BKN-1","BKN-2"
"BKN-10","Task","Backup Electrs database.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/electrs_db.tar.gz /home/bitcoin_knots_node/bitcoin_node_helper/electrs/db/bitcoin`","BKN-1","BKN-2"
"BKN-11","Task","Backup Mempool backend configuration.","`cp /home/bitcoin_knots_node/bitcoin_node_helper/mempool/backend/mempool-config.json /home/bitcoin_knots_node/migration_backup/`","BKN-1","BKN-2"
"BKN-12","Task","Backup MariaDB `mempool` database.","`sudo mysqldump -u root -p mempool > /home/bitcoin_knots_node/migration_backup/mempool_mariadb.sql`","BKN-1","BKN-2"
"BKN-13","Task","Backup Nginx configurations.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/nginx_configs.tar.gz /etc/nginx`","BKN-1","BKN-2"
"BKN-14","Task","Backup Mempool frontend static files.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/mempool_frontend.tar.gz /var/www/mempool/browser`","BKN-1","BKN-2"
"BKN-15","Task","Backup Systemd service files (`bitcoind.service`, `electrs.service`).","`cp /etc/systemd/system/bitcoind.service /home/bitcoin_knots_node/migration_backup/`
`cp /etc/systemd/system/electrs.service /etc/systemd/system/`","BKN-1","BKN-2"
"BKN-16","Task","Backup `bitcoin_node_helper` project directory.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/bitcoin_node_helper.tar.gz /home/bitcoin_knots_node/bitcoin_node_helper`","BKN-1","BKN-2"
"BKN-17","Task","Backup PM2 configuration.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/pm2_home.tar.gz /home/bitcoin_knots_node/.pm2`","BKN-1","BKN-2"
"BKN-18","Task","Backup Postfix and Mailutils configurations.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/postfix_mailutils.tar.gz /etc/postfix /etc/mailutils`","BKN-1","BKN-2"
"BKN-19","Task","Backup Fail2ban configurations.","`sudo tar -czvf /home/bitcoin_knots_node/migration_backup/fail2ban_configs.tar.gz /etc/fail2ban`","BKN-1","BKN-2"
"BKN-20","Task","Backup SSH configuration.","`cp -r /home/bitcoin_knots_node/.ssh /home/bitcoin_knots_node/migration_backup/`","BKN-1","BKN-2"
"BKN-21","Task","Transfer `migration_backup` directory to local machine.","`scp -r /home/bitcoin_knots_node/migration_backup <local_user>@<local_ip>:/path/to/local/backup/`","BKN-1","BKN-2"
"BKN-22","Task","Verify integrity of transferred backups (checksums, partial restore).","","BKN-1","BKN-2"

"BKN-23","Story","Provision Local Home Lab Server (MIG-2)","As a node operator, I want to prepare the local Ubuntu machine with all necessary operating system and software dependencies so that it can host the Bitcoin Node Helper services.","BKN-1",""
"BKN-24","Task","Install a fresh copy of Ubuntu Server (same version as Azure VM if possible).","","BKN-1","BKN-23"
"BKN-25","Task","Run `sudo apt update && sudo apt upgrade -y`","","BKN-1","BKN-23"
"BKN-26","Task","Install essential tools (`curl`, `wget`, `git`, `tar`, `rsync`, `bc`, `net-tools`, `htop`, `iotop`).","","BKN-1","BKN-23"
"BKN-27","Task","Install Bitcoin Core build dependencies.","","BKN-1","BKN-23"
"BKN-28","Task","Install MariaDB Server and Client.","","BKN-1","BKN-23"
"BKN-29","Task","Install Nginx Web Server.","","BKN-1","BKN-23"
"BKN-30","Task","Install Node.js and npm via NVM (ensure matching version).","","BKN-1","BKN-23"
"BKN-31","Task","Install `pm2` globally.","","BKN-1","BKN-23"
"BKN-32","Task","Install Rust (for Electrs).","","BKN-1","BKN-23"
"BKN-33","Task","Install Mail Utilities and Postfix.","","BKN-1","BKN-23"
